Artist,Song,Played At
Billie Eilish,No Time To Die,2024-03-02T22:09:57.097Z
Billie Eilish,wish you were gay,2024-03-02T22:05:59.679Z
Billie Eilish,idontwannabeyouanymore,2024-03-02T22:02:21.888Z
Taylor Swift,illicit affairs,2024-03-02T21:59:02.925Z
Taylor Swift,Delicate,2024-03-02T21:55:24.049Z
Bad Omens,Just Pretend,2024-03-02T21:51:36.011Z
Bad Omens,THE DEATH OF PEACE OF MIND,2024-03-02T21:48:15.036Z
Billie Eilish,Billie Bossa Nova,2024-03-02T21:44:17.911Z
Billie Eilish,all the good girls go to hell,2024-03-02T21:41:04.748Z
Billie Eilish,bad guy,2024-03-02T21:38:20.974Z
Billie Eilish,I Didn't Change My Number,2024-03-02T21:34:44.010Z
Billie Eilish,bellyache,2024-03-02T21:32:09.887Z
Billie Eilish,Male Fantasy,2024-03-02T21:25:21.860Z
Billie Eilish,Happier Than Ever,2024-03-02T21:22:11.987Z
Tate McRae,exes,2024-03-02T21:17:17.044Z
Tate McRae,run for the hills,2024-03-02T21:14:42.029Z
Tate McRae,greedy,2024-03-02T21:12:21.837Z
Tate McRae,we're not alike,2024-03-02T21:09:40.834Z
Tate McRae,grave,2024-03-02T21:06:44.948Z
Tate McRae,you broke me first,2024-03-02T21:03:35.897Z
Doja Cat,Paint The Town Red,2024-03-02T21:00:49.937Z
Doja Cat,Kiss Me More (feat. SZA),2024-03-02T20:57:02.854Z
JID,Surround Sound (feat. 21 Savage & Baby Tate),2024-03-02T20:53:38.038Z
Jack Harlow,Lovin On Me,2024-03-02T20:49:28.846Z
Kendrick Lamar,"Bitch, Don’t Kill My Vibe",2024-03-02T20:47:15.007Z
Drake,Virginia Beach,2024-03-02T20:42:07.938Z
J. Cole,Crooked Smile (feat. TLC),2024-03-02T20:38:02.065Z
Catfish and the Bottlemen,Sidewinder,2024-03-02T20:33:26.550Z
The Academic,Bear Claws,2024-03-02T20:30:05.004Z
The Academic,Fake ID,2024-03-02T20:26:36.115Z
Two Door Cinema Club,Something Good Can Work,2024-03-02T20:22:43.942Z
The Academic,AFTERTASTE,2024-03-02T20:20:03.905Z
Cuco,Amor de Siempre,2024-03-02T20:16:58.932Z
Berhana,Janet,2024-03-02T20:11:41.061Z
The Academic,Why Can't We Be Friends?,2024-03-02T20:08:21.049Z
The Academic,Different,2024-03-02T20:05:02.021Z
The Academic,Bite My Tongue,2024-03-02T20:02:03.098Z
Creed,One Last Breath,2024-03-02T19:58:42.086Z
Creed,My Sacrifice,2024-03-02T19:06:12.940Z
The Academic,Chasers,2024-03-02T19:01:22.604Z
The Academic,Thought I Told You,2024-03-02T18:58:14.029Z
The Neighbourhood,Afraid,2024-03-02T18:54:47.007Z
The Warning,MORE,2024-03-02T18:50:40.019Z
DON BROCO,Nerve,2024-03-02T18:46:54.070Z
Reba McEntire,I'm A Survivor,2024-03-02T18:43:23.855Z
The Snuts,Always,2024-03-02T18:40:20.883Z
The Snuts,Knuckles,2024-03-02T18:37:00.886Z
The Snuts,Glasgow,2024-03-02T18:34:24.911Z
The Snuts,Seasons,2024-03-02T18:30:02.833Z
Green Day,Holiday,2024-03-02T18:26:48.052Z
