Artist,Song,Album,Release Date
Otis Redding,(I Can't Get No) Satisfaction,The Very Best of Otis Redding,1992-11-06
Otis Redding,Cigarettes and Coffee,The Soul Album,1966-04-01
Stevie Wonder,For Once In My Life,For Once In My Life,1968-12-01
NF,Let You Down,Perception,2017-10-06
5 Seconds of Summer,Old Me,CALM,2020-03-27
Halsey,Alone,hopeless fountain kingdom (Deluxe),2017-06-02
Post Malone,Better Now,beerbongs & bentleys,2018-04-27
Halsey,Die 4 Me,Die 4 Me,2023-02-24
Halsey,Bad At Love,hopeless fountain kingdom (Deluxe),2017-06-02
The Kid LAROI,WITHOUT YOU,F*CK LOVE 3+: OVER YOU,2021-07-27
Bazzi,3:15,COSMIC,2018-04-12
Billie Eilish,Ocean Eyes - Blackbear Remix,Ocean Eyes (The Remixes),2017-01-13
Bad Omens,CONCRETE JUNGLE,THE DEATH OF PEACE OF MIND,2022-02-25
Point North,Safe And Sound,Prepare For Despair,2023-08-18
Rain City Drive,Talk to a Friend,To Better Days,2020-08-07
Bad Omens,The Worst In Me,Bad Omens,2016-08-19
Tonight Alive,Lonely Girl,The Other Side,2013-09-10
I DONT KNOW HOW BUT THEY FOUND ME,Choke,Choke,2018-08-24
Sum 41,Still Waiting,Does This Look Infected?,2002-01-01
All Time Low,A Love Like War (feat. Vic Fuentes),Don't Panic: It's Longer Now!,2013-09-30
All Time Low,Something's Gotta Give,Future Hearts,2015-04-07
Two Door Cinema Club,I Can Talk,Tourist History,2010-02-17
The Agonist,Take Me to Church,Five,2016-09-30
One Morning Left,Beat It,Beat It,2021-10-29
Bad Omens,Limits,Finding God Before God Finds Me (Deluxe),2020-01-17
Wind Walkers,Without Me,Without Me,2018-10-24
Bad Omens,Take Me First,THE DEATH OF PEACE OF MIND,2022-02-25
VOILÀ,Therapy,Happy Never After,2022-10-07
Dance Gavin Dance,We Own the Night,Instant Gratification,2015-04-14
Loveless,happier than ever,happier than ever,2022-01-21
Fountains Of Wayne,Stacy's Mom,Welcome Interstate Managers,2003-01-01
Stand Atlantic,"deathwish (feat. nothing,nowhere.)",f.e.a.r.,2022-05-06
Escape the Fate,One For the Money,Ungrateful,2013-05-14
All Time Low,Some Kind of Disaster,"Wake Up, Sunshine",2020-04-03
All Time Low,Sleepwalking,Tell Me I'm Alive,2023-03-17
Måneskin,SUPERMODEL,RUSH!,2023-01-20
COIN,Talk Too Much,How Will You Know If You Never Try,2017-04-21
lovelytheband,broken,finding it hard to smile,2018-08-03
The Killers,Somebody Told Me,Hot Fuss,2004
Green Day,Holiday,Greatest Hits: God's Favorite Band,2017-11-17
The Snuts,Seasons,Seasons,2018-06-22
The Snuts,Glasgow,W.L. (Deluxe),2021-04-02
The Snuts,Knuckles,Burn The Empire,2022-09-30
The Snuts,Always,W.L. (Deluxe),2021-04-02
Reba McEntire,I'm A Survivor,Greatest Hits Volume III - I'm A Survivor,2001-10-23
DON BROCO,Nerve,Automatic,2016-11-11
The Warning,MORE,MORE,2023-05-12
The Neighbourhood,Afraid,I Love You.,2013-04-19
The Academic,Thought I Told You,Loose Friends,2015-10-30
The Academic,Chasers,Loose Friends,2015-10-30
Creed,My Sacrifice,Weathered,2001-01-01
Creed,One Last Breath,Weathered,2001-01-01
The Academic,Bite My Tongue,Tales from the Backseat,2018-01-12
The Academic,Different,Loose Friends,2015-10-30
The Academic,Why Can't We Be Friends?,Tales from the Backseat,2018-01-12
Berhana,Janet,Berhana,2016-07-21
Cuco,Amor de Siempre,wannabewithu,2016-07-09
The Academic,AFTERTASTE,AFTERTASTE,2019-09-13
Two Door Cinema Club,Something Good Can Work,Tourist History,2010-02-17
The Academic,Fake ID,Tales from the Backseat,2018-01-12
The Academic,Bear Claws,Tales from the Backseat,2018-01-12
Catfish and the Bottlemen,Sidewinder,The Balcony,2014-09-15
J. Cole,Crooked Smile (feat. TLC),Born Sinner (Deluxe Version),2013-06-18
Drake,Virginia Beach,For All The Dogs,2023-10-06
Kendrick Lamar,"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city",2012
Jack Harlow,Lovin On Me,Lovin On Me,2023-11-10
JID,Surround Sound (feat. 21 Savage & Baby Tate),The Forever Story (Extended Version),2022-10-31
Doja Cat,Kiss Me More (feat. SZA),Planet Her,2021-06-25
Doja Cat,Paint The Town Red,Paint The Town Red,2023-08-04
Tate McRae,you broke me first,you broke me first,2020-04-17
Tate McRae,grave,THINK LATER,2023-12-08
Tate McRae,we're not alike,THINK LATER,2023-12-08
Tate McRae,greedy,greedy,2023-09-15
Tate McRae,run for the hills,THINK LATER,2023-12-08
Tate McRae,exes,exes,2023-11-17
Billie Eilish,Happier Than Ever,Happier Than Ever,2021-07-30
Billie Eilish,Male Fantasy,Happier Than Ever,2021-07-30
Billie Eilish,bellyache,Bellyache,2017-02-24
Billie Eilish,I Didn't Change My Number,Happier Than Ever,2021-07-30
Billie Eilish,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
Billie Eilish,all the good girls go to hell,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
Billie Eilish,Billie Bossa Nova,Happier Than Ever,2021-07-30
Bad Omens,THE DEATH OF PEACE OF MIND,THE DEATH OF PEACE OF MIND,2022-02-25
Bad Omens,Just Pretend,THE DEATH OF PEACE OF MIND,2022-02-25
Taylor Swift,Delicate,reputation,2017-11-10
Taylor Swift,illicit affairs,folklore,2020-07-24
Billie Eilish,idontwannabeyouanymore,dont smile at me,2017-12-22
Billie Eilish,wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
Billie Eilish,No Time To Die,No Time To Die,2020-02-13
Billie Eilish,Oxytocin,Happier Than Ever,2021-07-30
Billie Eilish,Therefore I Am,Therefore I Am,2020-11-12
Billie Eilish,Halley's Comet,Happier Than Ever,2021-07-30
Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),2023-09-15
Sabrina Carpenter,buy me presents,fruitcake,2023-11-17
Dolly Parton,Wrecking Ball,Wrecking Ball,2023-10-20
Miley Cyrus,Flowers,Endless Summer Vacation,2023-08-18
Billie Eilish,ocean eyes,Ocean Eyes,2016-11-18
KALEO,Way down We Go,A/B,2016-06-10
Miley Cyrus,Jaded,Endless Summer Vacation,2023-08-18
Miley Cyrus,Used To Be Young,Endless Summer Vacation,2023-08-18
Miley Cyrus,Used To Be Young,Used To Be Young,2023-08-25
Doja Cat,Agora Hills,Scarlet,2023-09-22
Dua Lipa,Houdini,Houdini,2023-11-09
Catfish and the Bottlemen,Fluctuate,The Balance,2019-04-26
Catfish and the Bottlemen,Oxygen,The Ride,2016-05-27
Gracie Abrams,Block me out,Block me out,2022-04-08
Gracie Abrams,Rockland,This Is What It Feels Like,2021-11-12
Gracie Abrams,Friend,minor,2020-07-14
Gracie Abrams,Where do we go now?,Good Riddance (Deluxe),2023-06-16
Gracie Abrams,minor,minor,2020-07-14
Gracie Abrams,The Bottom,This Is What It Feels Like,2021-11-12
Gracie Abrams,Difficult,Good Riddance (Deluxe),2023-06-16
James Arthur,Just Us,Just Us,2023-10-06
Catfish and the Bottlemen,Hourglass,The Balcony,2014-09-15
Circa Survive,Get Out,Blue Sky Noise (Deluxe - Remastered),2018-08-10
Dance Gavin Dance,Death of a Strawberry,Instant Gratification,2015-04-14
Corella,Caught Up,Caught Up,2018-02-23
Ghost Atlas,Vertigo,"All Is in Sync, and There's Nothing Left to Sing About",2017-11-17
Conan Gray,Memories,Superache,2022-06-24
San Cisco,Too Much Time Together,Gracetown,2015-03-06
Death Cab for Cutie,Soul Meets Body,Plans,2005-08-29
Conan Gray,Greek God,Sunset Season,2018-11-16
Taylor Swift,right where you left me - bonus track,evermore (deluxe version),2021-01-07
Conan Gray,Maniac,Kid Krow,2020-03-20
Conan Gray,Family Line,Superache,2022-06-24
Conan Gray,Crush Culture,Sunset Season,2018-11-16
Conan Gray,Wish You Were Sober,Kid Krow,2020-03-20
Conan Gray,Winner,Winner,2023-08-25
Sadie Hawkins,The Way You Break My Heart,The Way You Break My Heart,2019-06-14
Conan Gray,People Watching,Superache,2022-06-24
Catfish and the Bottlemen,Anything,The Ride,2016-05-27
Catfish and the Bottlemen,Emily,The Ride,2016-05-27
Chappell Roan,Casual,The Rise and Fall of a Midwest Princess,2023-09-22
Phoebe Bridgers,Scott Street,Stranger in the Alps (Deluxe Edition),2018-10-02
Catfish and the Bottlemen,Fallout,The Balcony,2014-09-15
Catfish and the Bottlemen,Cocoon,The Balcony,2014-09-15
Arctic Monkeys,Cornerstone,Humbug,2009-08-20
Dominic Fike,Babydoll,"Don't Forget About Me, Demos",2018-10-16
The Academic,Mixtape 2003,Mixtape 2003,2016-08-19
Catfish and the Bottlemen,Rango,The Balcony,2014-09-15
Catfish and the Bottlemen,2all,The Balance,2019-04-26
BØRNS,The Emotion,Dopamine,2015-10-16
Cage The Elephant,Trouble,Tell Me I'm Pretty,2015-12-18
Catfish and the Bottlemen,7,The Ride,2016-05-27
Young the Giant,Cult of Personality,American Bollywood,2022-11-16
Young the Giant,Mr. Know-It-All,Home of the Strange,2016-08-12
KALEO,Alter Ego,Surface Sounds,2021-04-23
Wallows,Scrawny,Nothing Happens,2019-03-22
Night Riots,Back to Your Love,Young Lore,2013-07-30
Young the Giant,Mind Over Matter (Reprise),Mirrorball / Mind Over Matter (Reprise),2015-04-18
Vance Joy,Mess Is Mine,Dream Your Life Away (Special Edition),2014-09-09
Noah Kahan,She Calls Me Back,Stick Season,2022-10-14
Mumford & Sons,I Will Wait,Babel (Deluxe Version),2012-09-25
Hozier,Sunlight,"Wasteland, Baby!",2019-03-01
Peach Pit,Alrighty Aphrodite,Being So Normal,2018-06-28
Mt. Joy,Strangers,Rearrange Us,2020-06-05
The Backseat Lovers,Maple Syrup,When We Were Friends,2019-01-27
The Backseat Lovers,Kilby Girl,When We Were Friends,2019-01-27
The Academic,Why Can't We Be Friends?,Tales from the Backseat,2018-01-12
Logic,Under Pressure,Under Pressure (Deluxe),2014-10-21
The Chainsmokers,Who Do You Love,World War Joy,2019-12-06
Taylor Swift,Cruel Summer,Lover,2019-08-23
KALEO,All the Pretty Girls,A/B,2016-06-10
Kenya Grace,Strangers,Strangers,2023-09-01
Hozier,To Noise Making (Sing),"Wasteland, Baby!",2019-03-01
Greta Van Fleet,Black Smoke Rising,From The Fires,2017-11-10
Hozier,Damage Gets Done (feat. Brandi Carlile),Unreal Unearth,2023-08-18
Greta Van Fleet,You're The One,Anthem Of The Peaceful Army,2018-10-19
Greta Van Fleet,Meeting The Master,Starcatcher,2023-07-21
Young the Giant,The Walk Home,American Bollywood,2022-11-16
Death Cab for Cutie,I Will Follow You into the Dark,Plans,2005-08-29
Young the Giant,Repeat,Home of the Strange,2016-08-12
Catfish and the Bottlemen,Kathleen,The Balcony,2014-09-15
Hozier,Unknown / Nth,Unreal Unearth,2023-08-18
Chappell Roan,Red Wine Supernova,Red Wine Supernova,2023-05-17
Hozier,Nina Cried Power (feat. Mavis Staples),"Wasteland, Baby!",2019-03-01
Greta Van Fleet,Light My Love,The Battle at Garden’s Gate,2021-04-16
Del Water Gap,Ode to a Conversation Stuck in Your Throat,Del Water Gap,2021-10-08
MUNA,Silk Chiffon,MUNA,2022-06-24
Of Monsters and Men,Mountain Sound,My Head Is An Animal,2012-01-01
Lorde,Ribs,Pure Heroine,2013-09-27
Ashe,Till Forever Falls Apart,Ashlyn,2021-05-07
Niall Horan,Heaven,The Show,2023-06-09
Hozier,De Selby (Part 2),Unreal Unearth,2023-08-18
Hozier,Arsonist's Lullabye,From Eden EP,2014-03-09
Hozier,Nobody,"Wasteland, Baby!",2019-03-01
Hozier,Who We Are,Unreal Unearth,2023-08-18
Hozier,Shrike,"Wasteland, Baby!",2019-03-01
Hozier,Almost (Sweet Music),"Wasteland, Baby!",2019-03-01
Hozier,Abstract (Psychopomp),Unreal Unearth,2023-08-18
Hozier,All Things End,Unreal Unearth,2023-08-18
Hozier,Eat Your Young,Unreal Unearth,2023-08-18
Hozier,First Time,Unreal Unearth,2023-08-18
slimdan,Celebrity Lookalikes,Celebrity Lookalikes,2023-08-23
frances mistry,in the rain,let them eat grass,2023-08-18
Nine Days,Absolutely (Story of a Girl) - Radio Mix,The Madding Crowd,2000-05-16
Eagles,Tequila Sunrise - 2013 Remaster,Desperado (2013 Remaster),1973-04-17
Pierce The Veil,Pass The Nirvana,The Jaws Of Life,2023-02-10
Mayday Parade,Jamie All Over,A Lesson In Romantics,2007-07-10
Yellowcard,"For You, And Your Denial","When You're Through Thinking, Say Yes",2011-03-22
Pierce The Veil,King For A Day,Collide With The Sky,2012-07-17
Gerard Way,Brother,Hesitant Alien,2014-08-22
Black Veil Brides,Knives and Pens,We Stitch These Wounds,2010-07-20
5 Seconds of Summer,Take My Hand,BLENDER,2022-07-13
5 Seconds of Summer,Jet Black Heart,Sounds Good Feels Good (Deluxe),2015-10-23
Noah Cyrus,For Once In My Life,For Once In My Life,2020-07-15
Pierce The Veil,Death Of An Executioner,The Jaws Of Life,2023-02-10
Greta Van Fleet,Safari Song,From The Fires,2017-11-10
Panic! At The Disco,New Perspective,Jennifer's Body Music From The Original Motion Picture Soundtrack,2009-08-21
My Chemical Romance,Party Poison,Danger Days: The True Lives of the Fabulous Killjoys,2010-11-05
Tonight Alive,Little Lion Man,"Punk Goes Pop, Vol. 4",2011-11-21
The Struts,Could Have Been Me,Everybody Wants,2016-03-04
BØRNS,Dug My Heart,Dopamine,2015-10-16
BØRNS,Holy Ghost,Dopamine,2015-10-16
Mt. Joy,Astrovan,Mt. Joy,2018-03-02
Of Monsters and Men,Little Talks,My Head Is An Animal,2012-01-01
Young the Giant,Crystallized,Mind Over Matter,2014-01-17
The Paper Kites,Bloom - Bonus Track,Woodland,2013-03-05
Young the Giant,Apartment - 2020 Remaster,Young The Giant (10th Anniversary Edition),2010-10-25
Two Door Cinema Club,Undercover Martyn,Tourist History,2010-02-17
My Chemical Romance,Sleep,The Black Parade,2006-10-23
My Chemical Romance,Mama,The Black Parade,2006-10-23
My Chemical Romance,The Sharpest Lives,The Black Parade,2006-10-23
My Chemical Romance,This Is How I Disappear,The Black Parade,2006-10-23
My Chemical Romance,House of Wolves,The Black Parade,2006-10-23
Dashboard Confessional,Vindicated,Dusk And Summer,2006
Neon Trees,Nights,I Can Feel You Forgetting Me,2020-07-24
Cage The Elephant,Social Cues,Social Cues,2019-04-19
Matt Maeson,Cringe,Bank On The Funeral,2019-04-05
Death Cab for Cutie,The Ghosts of Beverly Drive,Kintsugi,2015-03-27
Neon Trees,Sleeping With A Friend,Pop Psychology,2014-01-01
Mt. Joy,Dirty Love,Mt. Joy,2018-03-02
Cage The Elephant,Come a Little Closer,Melophobia,2013-10-08
The Paper Kites,Paint,Young North,2013-03-05
Young the Giant,Superposition,Mirror Master,2018-10-12
All Time Low,Painting Flowers,Painting Flowers,2011-11-15
The Red Jumpsuit Apparatus,Am I The Enemy,Am I the Enemy,2011-08-29
Arctic Monkeys,Perfect Sense,The Car,2022-10-21
