Term,Artist,Genres,Popularity
long_term,John Mayer,"neo mellow, singer-songwriter",76
long_term,Billie Eilish,"art pop, pop",88
long_term,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96
long_term,Noah Cyrus,"alt z, pop",71
long_term,My Chemical Romance,"emo, modern rock, pop punk, pov: indie, rock",76
long_term,Miley Cyrus,pop,84
long_term,The Weeknd,"canadian contemporary r&b, canadian pop, pop",95
long_term,All Time Low,"modern rock, neon pop punk, pop emo, pop punk",68
long_term,Hozier,"irish singer-songwriter, modern rock, pov: indie",82
long_term,5 Seconds of Summer,"boy band, pop",76
long_term,Catfish and the Bottlemen,"modern alternative rock, modern rock, stomp pop, welsh rock",65
long_term,Taylor Swift,pop,100
long_term,Phoebe Bridgers,"indie pop, la indie, pov: indie",78
long_term,Young the Giant,"indietronica, modern alternative rock, modern rock, pov: indie, stomp and holler",66
long_term,Olivia Rodrigo,pop,88
long_term,Nightly,hopebeat,50
long_term,Gracie Abrams,alt z,75
long_term,Sabrina Carpenter,pop,80
long_term,Gary Clark Jr.,"electric blues, modern blues rock, rock, soul blues, texas blues",56
long_term,Kendrick Lamar,"conscious hip hop, hip hop, rap, west coast rap",88
long_term,Harry Styles,pop,84
long_term,Tate McRae,"alt z, pop",86
long_term,Sara Bareilles,"acoustic pop, ectofolk, lilith, neo mellow, pop rock, post-teen pop, viral pop",64
long_term,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",86
long_term,Paramore,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock",77
long_term,Shawn Mendes,"canadian pop, pop, viral pop",82
long_term,Maroon 5,pop,85
long_term,Kanye West,"chicago rap, hip hop, rap",95
long_term,Ed Sheeran,"pop, singer-songwriter pop, uk pop",87
long_term,Dance Gavin Dance,"pixie, sacramento indie, screamo, swancore",62
long_term,Joshua Bassett,singer-songwriter pop,58
long_term,Joey Landreth,"canadian folk, manitoba indie",26
long_term,Conan Gray,"bedroom pop, pop, pov: indie",79
long_term,Bad Omens,american metalcore,73
long_term,Sam Smith,"pop, uk pop",83
long_term,Ariana Grande,pop,89
long_term,Dua Lipa,"dance pop, pop, uk pop",88
long_term,Bastille,"metropopolis, modern rock, pop",75
long_term,Cory Wong,instrumental funk,54
long_term,SZA,"pop, r&b, rap",90
long_term,Charli Adams,nashville singer-songwriter,34
long_term,James Bay,"neo mellow, pop, uk pop",69
long_term,Nickelback,"alternative metal, canadian rock, post-grunge",76
long_term,Greta Van Fleet,"modern blues rock, modern hard rock, rock",66
long_term,Eagles,"album rock, classic rock, heartland rock, mellow gold, rock, soft rock, yacht rock",75
long_term,Justin Bieber,"canadian pop, pop",89
long_term,Doja Cat,"dance pop, pop",87
long_term,The Killers,"alternative rock, dance rock, modern rock, permanent wave, rock",77
long_term,Jukebox The Ghost,"modern rock, piano rock, pov: indie",49
long_term,Bazzi,pop,69
long_term,Ruel,"alt z, australian alternative pop, pop",63
long_term,SUGR?,,35
long_term,Halsey,"electropop, etherpop, indie poptimism, pop",80
long_term,Cam,"contemporary country, modern country rock",51
long_term,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap",86
long_term,The Black Crowes,"album rock, blues rock, classic rock, electric blues, hard rock, heartland rock, jam band, rock, southern rock",60
long_term,Gavin DeGraw,"neo mellow, pop rock",60
long_term,Post Malone,"dfw rap, melodic rap, pop, rap",87
long_term,Coldplay,"permanent wave, pop",87
long_term,Death Cab for Cutie,"alternative rock, canadian indie, chamber pop, indie rock, indietronica, modern rock, seattle indie, washington indie",62
long_term,The Snuts,"britpop revival, scottish indie rock",54
long_term,Green Day,"modern rock, permanent wave, punk, rock",80
long_term,The Academic,irish indie,47
long_term,Rihanna,"barbadian pop, pop, urban contemporary",90
long_term,The 1975,"modern alternative rock, modern rock, pop, pov: indie, rock",76
long_term,21 Savage,"atl hip hop, hip hop, rap",92
long_term,Panic! At The Disco,"modern rock, pop",77
long_term,Lizzo,"escape room, minnesota hip hop, pop, trap queen",71
long_term,OneRepublic,"piano rock, pop",82
long_term,Adele,"british soul, pop, pop soul, uk pop",85
long_term,Tonight Alive,"candy pop, pixie, pop emo, pop punk",47
long_term,Ashnikko,"alt z, escape room",68
long_term,Hunter Hayes,"contemporary country, country, country road, modern country rock",55
long_term,Stevie Wonder,"motown, soul",75
long_term,Red Hot Chili Peppers,"alternative rock, funk metal, funk rock, permanent wave, rock",82
long_term,Khalid,"pop, pop r&b",82
long_term,Alessia Cara,"canadian contemporary r&b, canadian pop, pop",72
long_term,Ben Rector,"acoustic pop, indiecoustica, lds youth, neo mellow, piano rock",58
long_term,Em Beihold,"alt z, gen z singer-songwriter",72
long_term,Elvis Presley,"rock-and-roll, rockabilly",77
long_term,BØRNS,"indie poptimism, modern alternative rock, modern rock, pov: indie",67
long_term,The Struts,"glam rock, modern alternative rock",59
long_term,Bruno Mars,"dance pop, pop",88
long_term,The Kid LAROI,australian hip hop,79
long_term,H.E.R.,"r&b, rap",75
long_term,Elton John,"glam rock, mellow gold, piano rock, rock",82
long_term,Zella Day,"alt z, electropop, gauze pop, indie poptimism",54
long_term,Creed,"alternative metal, nu metal, post-grunge",70
long_term,FLETCHER,"alt z, pop",64
long_term,Bob Marley & The Wailers,"reggae, roots reggae",82
long_term,Mötley Crüe,"album rock, alternative metal, glam metal, hard rock, metal, rock, sleaze rock",70
long_term,Styx,"album rock, classic rock, glam metal, hard rock, mellow gold, progressive rock, rock, soft rock",61
long_term,Jason Mraz,"acoustic pop, dance pop, neo mellow, pop",72
long_term,Niall Horan,pop,76
long_term,One Direction,"boy band, pop, post-teen pop, talent show",83
long_term,vaultboy,singer-songwriter pop,61
long_term,Pierce The Veil,"modern rock, pop punk, screamo",72
long_term,Two Door Cinema Club,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie",68
long_term,Cage The Elephant,"modern alternative rock, modern rock, pov: indie, punk blues, rock",73
long_term,Lady A,"contemporary country, country, country dawn, country pop, country road",66
long_term,Fall Out Boy,"emo, modern rock, pop, rock",79
long_term,Lukas Graham,"danish pop, scandipop",70
long_term,Lil Nas X,lgbtq+ hip hop,76
long_term,Michael Jackson,"r&b, soul",82
long_term,JP Saxe,"alt z, canadian contemporary r&b, singer-songwriter pop",65
long_term,Billy Joel,"album rock, classic rock, heartland rock, mellow gold, piano rock, rock, singer-songwriter, soft rock",77
long_term,KALEO,"icelandic indie, icelandic rock, modern alternative rock",69
long_term,Mt. Joy,stomp and holler,69
long_term,The Beatles,"british invasion, classic rock, merseybeat, psychedelic rock, rock",84
long_term,Neon Trees,"modern rock, neo mellow, pop rock, pov: indie",65
long_term,Scott Bradlee's Postmodern Jukebox,"jazz cover, swing",59
long_term,Michael Bublé,"adult standards, canadian pop, jazz pop, lounge",75
long_term,The All-American Rejects,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge",66
long_term,Led Zeppelin,"album rock, classic rock, hard rock, rock",75
long_term,boygenius,indie pop,70
long_term,Reneé Rapp,"alt z, singer-songwriter pop",75
long_term,Daughtry,"alternative metal, neo mellow, pop rock, post-grunge",64
long_term,Jimi Hendrix,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",69
long_term,U2,"irish rock, permanent wave, rock",77
long_term,Troye Sivan,"australian pop, pop, viral pop",78
long_term,Marshmello,"brostep, edm, pop, progressive electro house",84
long_term,Jonas Brothers,"boy band, pop",75
long_term,PJ Harding,australian singer-songwriter,51
long_term,Abby Holliday,modern indie folk,32
long_term,Cardinal Black,backing track,27
long_term,Katy Perry,pop,84
long_term,Bowling For Soup,"neon pop punk, pop punk, pop rock, texas pop punk",60
long_term,Stevie Ray Vaughan,"album rock, blues, blues rock, classic rock, electric blues, hard rock, heartland rock, instrumental rock, rock, texas blues",61
long_term,John Legend,"neo soul, pop, pop soul, urban contemporary",75
long_term,Creedence Clearwater Revival,"album rock, classic rock, country rock, rock, southern rock, swamp rock",80
long_term,Rascal Flatts,"contemporary country, country, country road",68
long_term,Carrie Underwood,"classic oklahoma country, contemporary country, country, country dawn, dance pop, pop",69
long_term,Marvin Gaye,"classic soul, motown, neo soul, northern soul, quiet storm, soul",73
long_term,Imagine Dragons,"modern rock, pop, rock",86
long_term,Justin Timberlake,"dance pop, pop",82
long_term,Daya,"alt z, pop",68
long_term,Journey,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, soft rock",73
long_term,Maddie & Tae,"contemporary country, country, country road",60
long_term,White Noise Radiance,shush,79
long_term,COIN,pov: indie,60
long_term,Rush,"album rock, canadian metal, classic canadian rock, classic rock, hard rock, progressive rock, rock",65
long_term,Fleetwood Mac,"album rock, classic rock, rock, soft rock, yacht rock",81
long_term,Hugh Jackman,"hollywood, show tunes",66
long_term,Foreigner,"album rock, classic rock, glam metal, hard rock, heartland rock, mellow gold, rock, soft rock",69
long_term,The Bros. Landreth,canadian folk,33
long_term,Jimmy Buffett,trop rock,66
long_term,Daryl Hall & John Oates,"album rock, classic rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock",73
long_term,Matchbox Twenty,"neo mellow, pop rock, post-grunge",67
long_term,Haley Joelle,"alt z, gen z singer-songwriter",53
long_term,JAY-Z,"east coast hip hop, gangster rap, hip hop, pop rap, rap",83
long_term,Van Halen,"album rock, classic rock, hard rock, rock",71
long_term,Alexander 23,"alt z, singer-songwriter pop",60
long_term,Linkin Park,"alternative metal, nu metal, post-grunge, rap metal, rock",85
long_term,Eric Hutchinson,"acoustic pop, neo mellow",45
long_term,Jodi Benson,movie tunes,52
long_term,Frank Ocean,"lgbtq+ hip hop, neo soul",84
long_term,B.B. King,"blues, blues rock, classic rock, electric blues, jazz blues, soul blues, traditional blues",60
long_term,Sing Street,,40
long_term,Matt Maeson,pov: indie,62
long_term,Joyce Manor,"alternative emo, dreamo, emo, indie punk, lo-fi emo",53
long_term,John Williams,"orchestral soundtrack, soundtrack",71
long_term,The Red Jumpsuit Apparatus,"alternative metal, neon pop punk, pop punk, post-grunge, screamo",63
long_term,Boston,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock",65
long_term,JVKE,"modern indie pop, pov: indie, singer-songwriter pop",76
long_term,Surfaces,bedroom soul,64
long_term,Sia,"australian dance, australian pop, pop",83
long_term,James Arthur,"pop, talent show, uk pop",81
long_term,Nirvana,"grunge, permanent wave, rock",81
long_term,Lizzy McAlpine,"alt z, boston folk, indie pop, singer-songwriter pop",72
long_term,Ingrid Michaelson,"acoustic pop, ectofolk, lilith, neo mellow",58
long_term,Demi Lovato,"pop, post-teen pop",77
long_term,Chet Baker,"cool jazz, jazz, jazz trumpet, vocal jazz",65
long_term,Charlie Puth,"pop, viral pop",80
long_term,blink-182,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",78
long_term,Zhé Aqueen,,0
long_term,Lorde,"art pop, metropopolis, nz pop, pop",75
long_term,Wallows,pov: indie,69
long_term,Hannah Montana,"pop, post-teen pop",62
long_term,Wild Rivers,folk-pop,64
long_term,The Chainsmokers,pop,79
long_term,Aerosmith,"album rock, classic rock, hard rock, rock",75
long_term,Daniel Donato,"jam band, nashville americana",35
long_term,Muse,"alternative rock, modern rock, permanent wave, rock",74
long_term,Gavin James,irish pop,58
long_term,Otis Redding,"classic soul, memphis soul, soul, soul blues, southern soul, vocal jazz",70
long_term,Train,"dance pop, neo mellow, pop, pop rock",72
long_term,The Neighbourhood,"modern alternative rock, modern rock, pop",83
long_term,Phillip Phillips,"folk-pop, neo mellow, pop rock",61
long_term,Corella,"english indie rock, manchester indie",49
long_term,Dr. Dre,"g funk, gangster rap, hip hop, rap, west coast rap",79
long_term,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap",81
long_term,Charli XCX,"art pop, candy pop, metropopolis, pop, uk pop",74
long_term,GAYLE,modern alternative pop,63
long_term,Justin Hurwitz,"hollywood, movie tunes",63
long_term,Better Oblivion Community Center,"indie pop, indie rock",43
long_term,Allman Brothers Band,"album rock, blues rock, classic rock, country rock, electric blues, folk rock, hard rock, heartland rock, jam band, mellow gold, rock, singer-songwriter, soft rock, southern rock",62
long_term,RAYE,"uk contemporary r&b, uk pop",78
long_term,Shinedown,"alternative metal, nu metal, post-grunge",70
long_term,Robben Ford,"blues, electric blues, jazz blues, jazz fusion, modern blues, soul blues",39
long_term,Maren Morris,"classic texas country, contemporary country",69
long_term,Beyoncé,"pop, r&b",87
long_term,A Day To Remember,"alternative metal, metalcore, neon pop punk, pop punk, screamo",68
long_term,Calvin Harris,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance",85
long_term,Nat King Cole,"adult standards, lounge, soul, swing, vocal jazz",70
long_term,Frank Sinatra,"adult standards, easy listening, lounge",77
long_term,Lil Wayne,"hip hop, new orleans rap, pop rap, rap, trap",85
long_term,Yellowcard,"alternative metal, pop punk, post-grunge, socal pop punk",62
long_term,LP,"la pop, women's music",66
long_term,Etta James,"jazz blues, soul, soul blues, torch song, vocal jazz",69
long_term,Sadie Hawkins,,17
long_term,Ella Fitzgerald,"adult standards, jazz, jazz blues, soul, swing, vocal jazz",67
long_term,Alan Menken,"broadway, movie tunes, orchestral soundtrack",60
long_term,Twenty One Pilots,"modern rock, pop, pov: indie, rock",80
long_term,Jessie Murph,"modern country pop, singer-songwriter pop",72
long_term,Alicia Keys,"neo soul, pop, r&b",78
long_term,Lea Salonga,"movie tunes, tagalog worship",58
long_term,Dolly Parton,"classic country pop, country, country dawn",72
long_term,Miguel,"r&b, urban contemporary",78
long_term,The Script,"celtic rock, pop",73
long_term,Mokita,"chill pop, singer-songwriter pop",57
long_term,P!nk,"dance pop, pop",80
long_term,Jack Harlow,"deep underground hip hop, kentucky hip hop, pop rap, rap",83
long_term,Noah Kahan,pov: indie,87
long_term,Lauren Weintraub,"alt z, gen z singer-songwriter",40
long_term,The xx,"downtempo, dream pop, indietronica",66
long_term,Doyle Bramhall II,"electric blues, modern blues, modern blues rock",30
long_term,DNCE,"dance pop, pop",68
long_term,The Backseat Lovers,"pov: indie, slc indie",66
long_term,Stephen Sanchez,gen z singer-songwriter,77
long_term,Samuel E. Wright,movie tunes,54
long_term,Lady Gaga,"art pop, dance pop, pop",84
long_term,Gunna,"atl hip hop, melodic rap, rap, trap",84
long_term,Penelope Scott,"alt z, modern indie pop, pov: indie",61
long_term,Art Ellefson & Jazz Modus,,0
long_term,Of Monsters and Men,"folk-pop, metropopolis, modern rock, stomp and holler",67
long_term,THE DRIVER ERA,modern alternative rock,56
long_term,Abigail Osborn,,34
long_term,Kesha,"dance pop, pop",77
long_term,Ryan Gosling,hollywood,61
long_term,Childish Gambino,"atl hip hop, hip hop, rap",79
long_term,Vulfpeck,"ann arbor indie, funk rock, instrumental funk",58
long_term,Second Breakfast,,40
long_term,benny blanco,pop,71
long_term,Austin Hull,dark r&b,27
