Term,Artist,Genres,Popularity
medium_term,Billie Eilish,"art pop, pop",88
medium_term,Catfish and the Bottlemen,"modern alternative rock, modern rock, stomp pop, welsh rock",65
medium_term,Hozier,"irish singer-songwriter, modern rock, pov: indie",82
medium_term,Taylor Swift,pop,100
medium_term,Miley Cyrus,pop,84
medium_term,Young the Giant,"indietronica, modern alternative rock, modern rock, pov: indie, stomp and holler",66
medium_term,John Mayer,"neo mellow, singer-songwriter",76
medium_term,Tate McRae,"alt z, pop",86
medium_term,All Time Low,"modern rock, neon pop punk, pop emo, pop punk",68
medium_term,Conan Gray,"bedroom pop, pop, pov: indie",79
medium_term,Bad Omens,american metalcore,73
medium_term,5 Seconds of Summer,"boy band, pop",76
medium_term,Dance Gavin Dance,"pixie, sacramento indie, screamo, swancore",62
medium_term,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",86
medium_term,Gracie Abrams,alt z,75
medium_term,Greta Van Fleet,"modern blues rock, modern hard rock, rock",66
medium_term,Olivia Rodrigo,pop,88
medium_term,Nickelback,"alternative metal, canadian rock, post-grunge",76
medium_term,My Chemical Romance,"emo, modern rock, pop punk, pov: indie, rock",76
medium_term,Phoebe Bridgers,"indie pop, la indie, pov: indie",78
