Term,Artist,Genres,Popularity
short_term,Bad Omens,american metalcore,73
short_term,Nickelback,"alternative metal, canadian rock, post-grunge",76
short_term,All Time Low,"modern rock, neon pop punk, pop emo, pop punk",68
short_term,Billie Eilish,"art pop, pop",88
short_term,Tonight Alive,"candy pop, pixie, pop emo, pop punk",47
short_term,5 Seconds of Summer,"boy band, pop",76
short_term,Dance Gavin Dance,"pixie, sacramento indie, screamo, swancore",62
short_term,Catfish and the Bottlemen,"modern alternative rock, modern rock, stomp pop, welsh rock",65
short_term,Hozier,"irish singer-songwriter, modern rock, pov: indie",82
short_term,Halsey,"electropop, etherpop, indie poptimism, pop",80
short_term,John Mayer,"neo mellow, singer-songwriter",76
short_term,Bazzi,pop,69
short_term,Stevie Wonder,"motown, soul",75
short_term,Paramore,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock",77
short_term,The Academic,irish indie,47
short_term,The Snuts,"britpop revival, scottish indie rock",54
short_term,My Chemical Romance,"emo, modern rock, pop punk, pov: indie, rock",76
short_term,Young the Giant,"indietronica, modern alternative rock, modern rock, pov: indie, stomp and holler",66
short_term,Miley Cyrus,pop,84
short_term,Noah Cyrus,"alt z, pop",71
