Term,Artist,Song,Album,Release Date
short_term,Bad Omens,Take Me First,THE DEATH OF PEACE OF MIND,2022-02-25
short_term,Loveless,happier than ever,happier than ever,2022-01-21
short_term,Måneskin,SUPERMODEL,RUSH!,2023-01-20
short_term,Bad Omens,Just Pretend,THE DEATH OF PEACE OF MIND,2022-02-25
short_term,Tonight Alive,Wasting Away,Consider This,2011-11-15
short_term,Bazzi,3:15,COSMIC,2018-04-12
short_term,Tonight Alive,Lonely Girl,The Other Side,2013-09-10
short_term,Wind Walkers,Without Me,Without Me,2018-10-24
short_term,Escape the Fate,One For the Money,Ungrateful,2013-05-14
short_term,Dance Gavin Dance,We Own the Night,Instant Gratification,2015-04-14
short_term,Rise Against,Savior,Appeal To Reason,2008-01-01
short_term,Bad Omens,CONCRETE JUNGLE,THE DEATH OF PEACE OF MIND,2022-02-25
short_term,Stand Atlantic,"deathwish (feat. nothing,nowhere.)",f.e.a.r.,2022-05-06
short_term,My Chemical Romance,Famous Last Words,The Black Parade,2006-10-23
short_term,VOILÀ,Therapy,Happy Never After,2022-10-07
short_term,Nickelback,Savin' Me,All the Right Reasons,2005-09-26
short_term,Nickelback,"Animals - Live at Gwinnett Center Arena, Atlanta, GA, 3/17/2006",All the Right Reasons (Special Edition),2005-09-26
short_term,Dance Gavin Dance,Young Robot,Mothership,2016-10-07
short_term,Rain City Drive,Talk to a Friend,To Better Days,2020-08-07
short_term,Bad Omens,THE DEATH OF PEACE OF MIND,THE DEATH OF PEACE OF MIND,2022-02-25
