Term,Artist,Genres,Popularity
short_term,Bad Omens,american metalcore,73
short_term,Nickelback,"alternative metal, canadian rock, post-grunge",76
short_term,All Time Low,"modern rock, neon pop punk, pop emo, pop punk",68
short_term,Billie Eilish,"art pop, pop",88
short_term,5 Seconds of Summer,"boy band, pop",76
short_term,Tonight Alive,"candy pop, pixie, pop emo, pop punk",47
short_term,Catfish and the Bottlemen,"modern alternative rock, modern rock, stomp pop, welsh rock",65
short_term,Dance Gavin Dance,"pixie, sacramento indie, screamo, swancore",62
short_term,Halsey,"electropop, etherpop, indie poptimism, pop",80
short_term,Hozier,"irish singer-songwriter, modern rock, pov: indie",82
short_term,John Mayer,"neo mellow, singer-songwriter",76
short_term,Bazzi,pop,69
short_term,Stevie Wonder,"motown, soul",75
short_term,Paramore,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock",77
short_term,The Academic,irish indie,47
short_term,The Snuts,"britpop revival, scottish indie rock",54
short_term,Young the Giant,"indietronica, modern alternative rock, modern rock, pov: indie, stomp and holler",66
short_term,Miley Cyrus,pop,84
short_term,My Chemical Romance,"emo, modern rock, pop punk, pov: indie, rock",76
short_term,Two Door Cinema Club,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie",68
short_term,The Black Crowes,"album rock, blues rock, classic rock, electric blues, hard rock, heartland rock, jam band, rock, southern rock",60
short_term,Noah Cyrus,"alt z, pop",71
short_term,Greta Van Fleet,"modern blues rock, modern hard rock, rock",66
short_term,The Weeknd,"canadian contemporary r&b, canadian pop, pop",95
short_term,Conan Gray,"bedroom pop, pop, pov: indie",79
short_term,Gracie Abrams,alt z,75
short_term,Fleetwood Mac,"album rock, classic rock, rock, soft rock, yacht rock",81
short_term,Post Malone,"dfw rap, melodic rap, pop, rap",87
short_term,Tate McRae,"alt z, pop",86
short_term,Taylor Swift,pop,100
short_term,Green Day,"modern rock, permanent wave, punk, rock",80
short_term,Death Cab for Cutie,"alternative rock, canadian indie, chamber pop, indie rock, indietronica, modern rock, seattle indie, washington indie",62
short_term,Doja Cat,"dance pop, pop",87
short_term,Pierce The Veil,"modern rock, pop punk, screamo",72
short_term,The All-American Rejects,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge",66
short_term,Panic! At The Disco,"modern rock, pop",77
short_term,Neon Trees,"modern rock, neo mellow, pop rock, pov: indie",65
short_term,BØRNS,"indie poptimism, modern alternative rock, modern rock, pov: indie",67
short_term,Cage The Elephant,"modern alternative rock, modern rock, pov: indie, punk blues, rock",73
short_term,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96
short_term,Creed,"alternative metal, nu metal, post-grunge",70
short_term,Mik,anime lo-fi,46
short_term,Kendrick Lamar,"conscious hip hop, hip hop, rap, west coast rap",88
short_term,Mt. Joy,stomp and holler,69
short_term,NF,"hip hop, pop rap",79
short_term,KALEO,"icelandic indie, icelandic rock, modern alternative rock",69
short_term,Dua Lipa,"dance pop, pop, uk pop",88
short_term,The Story So Far,"alternative emo, emo, pop punk",57
short_term,Less Gravity,"lo-fi vgm, weirdcore",51
short_term,Escape the Fate,"alternative metal, metalcore, neon pop punk, pixie, pop punk, post-grunge, screamo",61
short_term,Breaking Benjamin,"alternative metal, nu metal, post-grunge",70
short_term,Linkin Park,"alternative metal, nu metal, post-grunge, rap metal, rock",85
short_term,LORDFI,lo-fi cover,28
short_term,A Day To Remember,"alternative metal, metalcore, neon pop punk, pop punk, screamo",68
short_term,Fall Out Boy,"emo, modern rock, pop, rock",79
short_term,Bowling For Soup,"neon pop punk, pop punk, pop rock, texas pop punk",60
short_term,Otis Redding,"classic soul, memphis soul, soul, soul blues, southern soul, vocal jazz",70
