Artist,Song,Played At
Conan Gray,Memories,2024-03-03T10:23:18.840Z
Ghost Atlas,Vertigo,2024-03-03T10:19:07.065Z
Corella,Caught Up,2024-03-03T10:16:09.111Z
Dance Gavin Dance,Death of a Strawberry,2024-03-03T10:12:56.935Z
Circa Survive,Get Out,2024-03-03T10:08:50.148Z
Catfish and the Bottlemen,Hourglass,2024-03-03T10:05:48.966Z
James Arthur,Just Us,2024-03-03T10:03:35.120Z
Gracie Abrams,Difficult,2024-03-03T10:00:03.945Z
Gracie Abrams,The Bottom,2024-03-03T09:55:49.928Z
Gracie Abrams,minor,2024-03-03T09:52:52.914Z
Gracie Abrams,Where do we go now?,2024-03-03T09:50:16.932Z
Gracie Abrams,Friend,2024-03-03T09:46:17.887Z
Gracie Abrams,Rockland,2024-03-03T09:43:24.899Z
Gracie Abrams,Block me out,2024-03-03T09:39:52.006Z
Catfish and the Bottlemen,Oxygen,2024-03-03T09:35:47.098Z
Catfish and the Bottlemen,Fluctuate,2024-03-03T09:33:00.833Z
Dua Lipa,Houdini,2024-03-03T09:29:53.001Z
Miley Cyrus,Used To Be Young,2024-03-03T09:24:03.024Z
Miley Cyrus,Used To Be Young,2024-03-03T09:20:56.101Z
Miley Cyrus,Jaded,2024-03-03T09:17:48.917Z
KALEO,Way down We Go,2024-03-03T09:14:47.647Z
Billie Eilish,ocean eyes,2024-03-03T09:11:18.057Z
Miley Cyrus,Flowers,2024-03-03T09:08:02.088Z
Dolly Parton,Wrecking Ball,2024-03-03T09:04:45.985Z
Sabrina Carpenter,buy me presents,2024-03-03T09:00:55.089Z
Teddy Swims,Lose Control,2024-03-03T08:58:01.903Z
Billie Eilish,Halley's Comet,2024-03-03T08:54:34.918Z
Billie Eilish,Therefore I Am,2024-03-03T08:22:42.139Z
Billie Eilish,Oxytocin,2024-03-03T08:19:51.965Z
Billie Eilish,No Time To Die,2024-03-03T08:16:26.043Z
Billie Eilish,wish you were gay,2024-03-03T08:12:28.093Z
Billie Eilish,idontwannabeyouanymore,2024-03-03T08:08:50.916Z
Taylor Swift,illicit affairs,2024-03-03T08:05:32.061Z
Taylor Swift,Delicate,2024-03-03T08:02:25.080Z
Bad Omens,Just Pretend,2024-03-03T07:58:36.990Z
Bad Omens,THE DEATH OF PEACE OF MIND,2024-03-03T07:55:16.111Z
Billie Eilish,Billie Bossa Nova,2024-03-03T07:51:17.974Z
Billie Eilish,all the good girls go to hell,2024-03-03T07:48:04.909Z
Billie Eilish,bad guy,2024-03-03T07:45:20.909Z
Billie Eilish,I Didn't Change My Number,2024-03-03T07:42:11.052Z
Billie Eilish,bellyache,2024-03-03T07:39:36.950Z
Billie Eilish,Male Fantasy,2024-03-03T07:36:41.842Z
Billie Eilish,Happier Than Ever,2024-03-03T07:33:30.853Z
Tate McRae,exes,2024-03-03T07:28:35.895Z
Tate McRae,run for the hills,2024-03-03T07:26:01.028Z
Tate McRae,greedy,2024-03-03T07:23:41.048Z
Tate McRae,we're not alike,2024-03-03T07:21:33.825Z
Tate McRae,grave,2024-03-03T07:18:37.912Z
Tate McRae,you broke me first,2024-03-03T07:15:25.769Z
Doja Cat,Paint The Town Red,2024-03-03T07:12:39.041Z
