Term,Artist,Genres,Popularity
medium_term,Billie Eilish,"art pop, pop",88
medium_term,Catfish and the Bottlemen,"modern alternative rock, modern rock, stomp pop, welsh rock",65
medium_term,Hozier,"irish singer-songwriter, modern rock, pov: indie",82
medium_term,Taylor Swift,pop,100
medium_term,Miley Cyrus,pop,84
medium_term,Young the Giant,"indietronica, modern alternative rock, modern rock, pov: indie, stomp and holler",66
medium_term,John Mayer,"neo mellow, singer-songwriter",76
medium_term,Tate McRae,"alt z, pop",86
medium_term,All Time Low,"modern rock, neon pop punk, pop emo, pop punk",68
medium_term,Conan Gray,"bedroom pop, pop, pov: indie",79
medium_term,Bad Omens,american metalcore,73
medium_term,5 Seconds of Summer,"boy band, pop",76
medium_term,Dance Gavin Dance,"pixie, sacramento indie, screamo, swancore",62
medium_term,Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",86
medium_term,Gracie Abrams,alt z,75
medium_term,Greta Van Fleet,"modern blues rock, modern hard rock, rock",66
medium_term,Olivia Rodrigo,pop,88
medium_term,Nickelback,"alternative metal, canadian rock, post-grunge",77
medium_term,My Chemical Romance,"emo, modern rock, pop punk, pov: indie, rock",77
medium_term,Phoebe Bridgers,"indie pop, la indie, pov: indie",78
medium_term,Gary Clark Jr.,"electric blues, modern blues rock, rock, soul blues, texas blues",56
medium_term,The Snuts,"britpop revival, scottish indie rock",54
medium_term,The Academic,irish indie,47
medium_term,Paramore,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock",77
medium_term,Sabrina Carpenter,pop,80
medium_term,The Weeknd,"canadian contemporary r&b, canadian pop, pop",95
medium_term,Tonight Alive,"candy pop, pixie, pop emo, pop punk",47
medium_term,Doja Cat,"dance pop, pop",87
medium_term,Adele,"british soul, pop, pop soul, uk pop",85
medium_term,Ed Sheeran,"pop, singer-songwriter pop, uk pop",87
medium_term,Bastille,"metropopolis, modern rock, pop",75
medium_term,Noah Cyrus,"alt z, pop",71
medium_term,The Struts,"glam rock, modern alternative rock",59
medium_term,Halsey,"electropop, etherpop, indie poptimism, pop",80
medium_term,Nightly,hopebeat,49
medium_term,BØRNS,"indie poptimism, modern alternative rock, modern rock, pov: indie",67
medium_term,Kendrick Lamar,"conscious hip hop, hip hop, rap, west coast rap",88
medium_term,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96
medium_term,Death Cab for Cutie,"alternative rock, canadian indie, chamber pop, indie rock, indietronica, modern rock, seattle indie, washington indie",62
medium_term,Bazzi,pop,69
medium_term,Stevie Wonder,"motown, soul",75
medium_term,Two Door Cinema Club,"indie rock, indietronica, irish rock, modern alternative rock, modern rock, northern irish indie",68
medium_term,SZA,"pop, r&b, rap",90
medium_term,The Black Crowes,"album rock, blues rock, classic rock, electric blues, hard rock, heartland rock, jam band, rock, southern rock",60
medium_term,KALEO,"icelandic indie, icelandic rock, modern alternative rock",69
medium_term,Harry Styles,pop,84
medium_term,Sam Smith,"pop, uk pop",83
medium_term,Creed,"alternative metal, nu metal, post-grunge",70
medium_term,Maroon 5,pop,85
medium_term,Kanye West,"chicago rap, hip hop, rap",95
medium_term,James Bay,"neo mellow, pop, uk pop",69
